date,courier_partners_online,temperature,relative_humidity,precipitation
2021-05-01,49,18.27,0.57,0.0
2021-05-02,927,19.88,0.55,0.0
2021-05-03,40,16.88,0.6,0.0
2021-05-04,51,21.88,0.53,0.0
2021-05-05,50,21.11,0.54,0.0
2021-05-06,47,19.04,0.56,0.0
2021-05-07,49,25.61,0.5,0.0
2021-05-08,48,20.04,0.55,0.0
2021-05-09,42,13.49,0.67,2.88
2021-05-10,48,17.59,0.58,0.0
2021-05-11,48,19.66,0.73,5.02
2021-05-12,49,15.21,0.63,1.44
2021-05-13,46,19.47,0.56,0.0
2021-05-14,47,21.01,0.54,0.0
2021-05-15,46,13.99,0.66,0.79
2021-05-16,42,15.96,0.61,0.38
2021-05-17,47,14.97,0.63,0.4
2021-05-18,49,19.92,0.55,0.0
2021-05-19,52,17.9,0.58,0.0
2021-05-20,55,18.52,0.57,0.0
2021-05-21,43,18.44,0.66,1.78
2021-05-22,46,17.9,0.58,0.0
2021-05-23,50,18.42,0.57,0.0
2021-05-24,45,19.26,0.56,0.0
2021-05-25,48,20.99,0.54,0.0
2021-05-26,54,21.86,0.53,0.0
2021-05-27,46,20.85,0.54,0.0
2021-05-28,46,15.29,0.63,1.35
2021-05-29,42,14.7,0.64,1.24
2021-05-30,48,17.16,0.72,0.52
2021-05-31,51,17.14,0.59,0.0
2021-06-01,51,14.91,0.64,0.4
2021-06-02,48,9.49,0.83,0.68
2021-06-03,50,,0.67,2.86
2021-06-04,34,6.57,0.99,5.78
2021-06-05,38,14.38,0.65,8.55
2021-06-06,41,11.79,0.72,6.85
2021-06-07,47,12.2,0.71,0.87
2021-06-08,53,13.92,0.81,1.77
2021-06-09,52,16.17,0.71,3.06
2021-06-10,47,10.73,0.77,4.69
2021-06-11,44,10.46,0.78,1.06
2021-06-12,45,,0.65,2.48
2021-06-13,46,16.14,0.61,0.37
2021-06-14,45,9.61,0.85,0.73
2021-06-15,51,13.59,0.77,5.3
2021-06-16,58,16.91,0.6,0.0
2021-06-17,51,12.62,0.7,4.22
2021-06-18,49,16.56,0.6,0.43
2021-06-19,43,,0.78,0.89
2021-06-20,49,11.11,0.84,0.7
2021-06-21,55,16.98,0.59,0.0
2021-06-22,56,11.26,0.86,0.74
2021-06-23,58,14.11,0.65,0.43
2021-06-24,48,12.87,0.69,2.22
2021-06-25,46,13.17,0.68,1.39
2021-06-26,48,18.75,0.57,0.0
2021-06-27,54,12.72,0.69,2.13
2021-06-28,50,11.37,0.85,0.72
2021-06-29,52,10.97,0.86,0.74
2021-06-30,56,10.28,0.79,2.14
2021-07-01,45,10.32,0.87,0.75
2021-07-02,47,19.12,0.56,0.0
2021-07-03,36,11.28,0.74,12.45
2021-07-04,52,17.27,0.59,0.0
2021-07-05,48,14.34,0.65,0.83
2021-07-06,52,16.04,0.61,8.44
2021-07-07,58,,0.63,0.4
2021-07-08,56,10.89,0.87,0.77
2021-07-09,49,13.98,0.66,0.43
2021-07-10,49,17.88,0.58,0.0
2021-07-11,55,23.26,0.74,0.54
2021-07-12,50,13.66,0.67,0.44
2021-07-13,61,17.84,0.58,0.0
2021-07-14,54,,0.67,0.45
2021-07-15,56,20.69,0.54,0.0
2021-07-16,46,18.15,0.67,0.45
2021-07-17,48,13.17,0.68,3.44
2021-07-18,53,12.77,0.84,3.23
2021-07-19,55,17.47,0.59,0.0
2021-07-20,61,14.68,0.64,0.72
2021-07-21,58,12.69,0.69,2.15
2021-07-22,62,17.07,0.59,0.0
2021-07-23,51,16.1,0.61,0.37
2021-07-24,53,19.35,0.56,0.0
2021-07-25,56,16.05,0.61,0.37
2021-07-26,56,13.43,0.67,0.45
2021-07-27,65,15.68,0.62,0.38
2021-07-28,63,,0.64,0.4
2021-07-29,46,15.16,0.63,7.62
2021-07-30,52,14.83,0.64,0.41
2021-07-31,55,14.4,0.65,0.42
2021-08-01,63,25.5,0.68,0.46
2021-08-02,58,26.4,0.65,1.45
2021-08-03,68,24.84,0.5,0.0
2021-08-04,62,28.23,0.48,0.0
2021-08-05,58,22.5,0.52,0.0
2021-08-06,57,23.74,0.51,0.0
2021-08-07,53,20.88,0.54,0.0
2021-08-08,63,26.14,0.49,0.0
2021-08-09,60,26.5,0.49,0.0
2021-08-10,70,25.14,0.5,0.0
2021-08-11,64,21.4,0.53,0.0
2021-08-12,62,26.05,0.49,0.0
2021-08-13,59,28.27,0.48,0.0
2021-08-14,54,24.51,0.5,0.0
2021-08-15,64,22.77,0.52,0.0
2021-08-16,51,22.24,0.61,9.25
2021-08-17,67,28.79,0.47,0.0
2021-08-18,65,26.18,0.49,0.0
2021-08-19,67,21.59,0.53,0.0
2021-08-20,61,24.24,0.51,0.0
2021-08-21,56,24.86,0.5,0.0
2021-08-22,66,27.28,0.48,0.0
2021-08-23,64,24.82,0.5,0.0
2021-08-24,60,17.03,0.59,0.0
2021-08-25,67,21.09,0.63,0.39
2021-08-26,58,25.02,0.6,4.48
2021-08-27,57,25.32,0.5,0.0
2021-08-28,52,21.35,0.53,0.0
2021-08-29,63,23.49,0.51,0.0
2021-08-30,57,21.75,0.53,0.0
2021-08-31,68,28.22,0.48,0.0
2021-09-01,70,34.17,0.45,0.0
2021-09-02,64,30.02,0.47,0.0
2021-09-03,64,31.86,0.46,0.0
2021-09-04,57,32.8,0.45,0.0
2021-09-05,57,26.23,0.57,0.0
2021-09-06,62,33.64,0.45,0.0
2021-09-07,71,33.14,0.45,0.0
2021-09-08,76,36.55,0.44,0.0
2021-09-09,71,35.3,0.44,0.0
2021-09-10,60,30.64,0.65,0.42
2021-09-11,59,33.9,0.45,0.0
2021-09-12,66,33.68,0.45,0.0
2021-09-13,67,32.31,0.45,0.0
2021-09-14,70,29.0,0.47,0.0
2021-09-15,68,29.06,0.62,1.14
2021-09-16,1367,30.68,0.46,0.0
2021-09-17,58,27.96,0.48,0.0
2021-09-18,57,30.05,0.47,0.0
2021-09-19,61,35.08,0.58,0.0
2021-09-20,64,30.62,0.46,0.0
2021-09-21,78,33.32,0.45,0.0
2021-09-22,68,31.6,0.46,0.0
2021-09-23,66,29.56,0.47,0.0
2021-09-24,59,33.97,0.45,0.0
2021-09-25,59,31.49,0.46,0.0
2021-09-26,64,32.95,0.68,1.56
2021-09-27,66,32.7,0.56,0.0
2021-09-28,73,31.77,0.46,0.0
2021-09-29,75,32.85,0.55,0.0
2021-09-30,64,31.54,0.46,0.0
2021-10-01,61,27.65,0.48,0.0
2021-10-02,60,,0.48,0.0
2021-10-03,69,31.04,0.46,0.0
2021-10-04,75,37.26,0.52,0.0
2021-10-05,73,31.73,0.54,0.0
2021-10-06,72,32.31,0.45,0.0
2021-10-07,60,28.73,0.47,0.0
2021-10-08,61,26.72,0.6,0.36
2021-10-09,58,30.25,0.47,0.0
2021-10-10,68,33.35,0.45,0.0
2021-10-11,71,31.12,0.46,0.0
2021-10-12,64,31.52,0.46,
2021-10-13,69,30.97,0.55,
2021-10-14,71,34.22,0.45,0.0
2021-10-15,60,27.97,0.48,0.0
2021-10-16,63,30.46,0.46,0.0
2021-10-17,73,,0.46,0.0
2021-10-18,67,29.03,0.68,0.46
2021-10-19,66,24.47,0.5,0.0
2021-10-20,71,27.41,0.48,0.0
2021-10-21,69,33.19,0.45,0.0
2021-10-22,67,28.42,0.61,0.37
2021-10-23,60,26.52,0.49,0.0
2021-10-24,61,26.02,0.49,0.0
2021-10-25,67,36.88,0.44,0.0
2021-10-26,72,33.53,0.45,0.0
2021-10-27,67,32.32,0.45,0.0
2021-10-28,72,35.9,0.52,0.0
2021-10-29,60,28.9,0.47,0.0
2021-10-30,61,27.63,0.48,0.0
2021-10-31,64,31.37,0.46,0.0
2021-11-01,61,20.67,0.54,0.0
2021-11-02,67,17.64,0.76,0.58
2021-11-03,67,23.59,0.51,0.0
2021-11-04,59,19.6,0.55,0.0
2021-11-05,56,17.6,0.58,0.0
2021-11-06,58,,0.61,3.21
2021-11-07,59,18.63,0.57,0.0
2021-11-08,65,15.9,0.77,0.6
2021-11-09,65,,0.51,0.0
2021-11-10,58,16.58,0.6,4.36
2021-11-11,63,18.29,0.57,0.0
2021-11-12,60,21.8,0.53,0.0
2021-11-13,58,20.17,0.55,0.0
2021-11-14,65,20.06,0.55,0.0
2021-11-15,66,19.17,0.56,0.0
2021-11-16,65,17.13,0.59,0.0
2021-11-17,80,25.28,0.5,0.0
2021-11-18,59,19.65,0.55,0.0
2021-11-19,52,20.89,0.54,0.0
2021-11-20,61,17.97,0.58,0.0
2021-11-21,61,19.53,0.7,0.49
2021-11-22,56,17.66,0.58,0.0
2021-11-23,52,13.11,0.68,10.92
2021-11-24,68,19.82,0.55,0.0
2021-11-25,63,20.11,0.55,0.0
2021-11-26,59,17.25,0.59,0.0
2021-11-27,50,14.43,0.65,6.76
2021-11-28,57,15.25,0.63,
2021-11-29,65,21.83,0.53,0.0
2021-11-30,65,18.22,0.57,0.0
2021-12-01,60,9.76,0.81,0.66
2021-12-02,47,-3.0,0.98,1.16
2021-12-03,61,4.89,0.91,0.82
2021-12-04,54,5.96,1.0,4.01
2021-12-05,50,3.68,0.99,0.99
2021-12-06,50,4.11,0.93,3.33
2021-12-07,63,7.66,0.89,0.79
2021-12-08,60,3.64,0.9,0.81
2021-12-09,53,6.59,0.99,0.97
2021-12-10,59,9.34,0.83,0.79
2021-12-11,60,5.75,0.97,0.95
2021-12-12,58,10.31,0.88,0.78
2021-12-13,55,9.27,0.84,2.98
2021-12-14,54,,0.97,6.06
2021-12-15,56,6.79,0.91,0.83
2021-12-16,50,1.71,0.92,4.72
2021-12-17,51,11.14,0.75,0.56
2021-12-18,53,6.99,0.94,0.88
2021-12-19,52,4.87,0.99,0.97
2021-12-20,55,4.24,0.98,0.96
2021-12-21,54,6.5,0.91,3.12
2021-12-22,62,10.74,0.77,2.94
2021-12-23,57,4.43,0.95,4.29
2021-12-24,54,6.29,0.98,1.05
2021-12-25,58,11.32,0.85,0.72
2021-12-26,59,9.07,0.85,0.72
2021-12-27,58,8.22,0.84,0.7
2021-12-28,55,5.2,0.93,4.64
2021-12-29,67,8.51,0.89,0.83
2021-12-30,62,10.14,0.79,0.83
2021-12-31,54,4.24,0.91,0.84
2022-01-01,43,-5.95,0.91,0.83
2022-01-02,50,-4.19,0.97,1.09
2022-01-03,53,-2.52,0.99,2.93
2022-01-04,51,-4.79,0.94,3.95
2022-01-05,61,1.87,0.96,0.92
2022-01-06,53,-1.12,0.93,3.41
2022-01-07,48,-4.43,0.97,1.05
2022-01-08,50,-4.48,0.97,0.95
2022-01-09,55,1.6,0.93,0.86
2022-01-10,54,-2.55,0.96,1.85
2022-01-11,57,-1.55,0.93,4.49
2022-01-12,55,-6.39,0.98,1.34
2022-01-13,54,-4.47,0.98,0.95
2022-01-14,48,0.0,0.93,2.66
2022-01-15,54,-3.61,0.91,0.82
2022-01-16,59,0.94,0.94,0.89
2022-01-17,53,-3.19,0.95,0.91
2022-01-18,58,-2.47,0.96,0.93
2022-01-19,59,-5.69,0.9,0.82
2022-01-20,55,-1.33,0.92,3.14
2022-01-21,45,-4.73,0.98,1.55
2022-01-22,44,-5.35,0.94,1.32
2022-01-23,56,1.51,0.94,1.56
2022-01-24,59,-0.8,0.92,0.85
2022-01-25,1176,-2.61,0.92,0.84
2022-01-26,60,-4.4,0.92,0.84
2022-01-27,50,-5.12,0.96,0.92
2022-01-28,55,-4.28,0.95,0.91
2022-01-29,46,-0.48,0.98,5.96
2022-01-30,46,-8.72,0.87,3.74
2022-01-31,59,1.55,0.96,1.77
2022-02-01,60,4.93,0.97,0.93
2022-02-02,69,,0.78,3.07
2022-02-03,59,7.47,0.98,0.95
2022-02-04,54,11.4,0.74,0.55
2022-02-05,52,7.71,0.92,2.53
2022-02-06,57,2.41,0.91,2.86
2022-02-07,54,7.39,0.98,2.3
2022-02-08,60,4.42,0.98,6.35
2022-02-09,63,8.39,0.9,0.8
2022-02-10,50,5.27,0.93,10.49
2022-02-11,57,13.07,0.68,0.47
2022-02-12,56,9.01,0.85,3.87
2022-02-13,56,6.0,0.94,2.75
2022-02-14,61,8.11,0.88,0.77
2022-02-15,62,8.62,0.88,0.77
2022-02-16,65,5.22,0.99,1.55
2022-02-17,60,7.11,0.9,0.84
2022-02-18,56,,0.83,1.08
2022-02-19,61,13.98,0.66,2.01
2022-02-20,64,8.9,0.86,1.98
2022-02-21,57,5.34,0.94,1.77
2022-02-22,63,4.98,0.95,1.86
2022-02-23,66,9.78,0.89,1.89
2022-02-24,60,,0.85,0.72
2022-02-25,44,5.61,0.98,9.63
2022-02-26,51,8.19,0.82,3.61
2022-02-27,62,5.77,0.94,2.01
2022-02-28,64,11.73,0.73,0.53
2022-03-01,68,15.91,0.61,0.38
2022-03-02,69,21.09,0.54,0.0
2022-03-03,69,16.02,0.61,0.37
2022-03-04,62,18.21,0.57,0.0
2022-03-05,65,24.02,0.51,0.0
2022-03-06,63,18.61,0.57,0.0
2022-03-07,67,19.21,0.56,0.0
2022-03-08,73,19.21,0.56,0.0
2022-03-09,63,14.39,0.65,3.47
2022-03-10,67,22.04,0.61,0.37
2022-03-11,64,26.11,0.49,0.0
2022-03-12,64,20.15,0.55,0.0
2022-03-13,65,22.06,0.53,0.0
2022-03-14,69,22.35,0.52,0.0
2022-03-15,72,21.09,0.54,0.0
2022-03-16,68,19.4,0.56,0.0
2022-03-17,67,20.45,0.54,0.0
2022-03-18,65,20.68,0.54,0.0
2022-03-19,65,17.87,0.71,0.51
2022-03-20,68,16.91,0.6,0.0
2022-03-21,63,20.16,0.55,0.0
2022-03-22,71,24.18,0.51,0.0
2022-03-23,1506,,0.55,0.0
2022-03-24,64,21.44,0.53,0.0
2022-03-25,56,17.63,0.71,0.76
2022-03-26,65,14.55,0.64,0.41
2022-03-27,70,24.63,0.59,0.0
2022-03-28,70,23.28,0.51,0.0
2022-03-29,79,23.46,0.51,0.0
2022-03-30,73,23.21,0.52,0.0
2022-03-31,66,18.21,0.57,0.0
2022-04-01,68,24.57,0.5,0.0
2022-04-02,62,23.36,0.51,0.0
2022-04-03,68,23.23,0.74,1.95
2022-04-04,66,22.72,0.52,0.0
2022-04-05,67,20.17,0.55,0.0
2022-04-06,72,22.62,0.52,0.0
2022-04-07,74,28.99,0.47,0.0
2022-04-08,63,21.43,0.53,0.0
2022-04-09,66,19.03,0.56,0.0
2022-04-10,74,28.61,0.47,0.0
2022-04-11,68,26.25,0.49,0.0
2022-04-12,76,25.29,0.5,0.0
2022-04-13,69,24.3,0.7,0.49
2022-04-14,63,25.62,0.5,0.0
2022-04-15,61,26.53,0.49,0.0
2022-04-16,63,21.85,0.53,0.0
2022-04-17,69,24.02,0.51,0.0
2022-04-18,67,19.87,0.66,0.44
2022-04-19,72,27.23,0.48,0.0
2022-04-20,75,23.24,0.52,0.0
2022-04-21,71,24.62,0.5,0.0
2022-04-22,70,23.31,0.51,0.0
2022-04-23,63,27.39,0.61,0.37
2022-04-24,68,21.54,0.53,0.0
2022-04-25,70,23.74,0.51,0.0
2022-04-26,76,26.2,0.49,0.0
2022-04-27,76,24.48,0.5,0.0
2022-04-28,71,24.08,0.6,1.25
2022-04-29,62,22.79,0.52,0.0
2022-04-30,65,20.91,0.54,0.0
2022-05-01,69,18.77,0.57,0.0
2022-05-02,66,17.54,0.58,0.0
2022-05-03,73,23.38,0.51,0.0
2022-05-04,71,16.64,0.6,0.36
2022-05-05,69,21.81,0.53,0.0
2022-05-06,64,19.47,0.65,0.42
2022-05-07,63,19.85,0.55,0.0
2022-05-08,68,17.26,0.59,0.0
2022-05-09,68,,0.67,0.45
2022-05-10,73,18.21,0.57,0.0
2022-05-11,69,15.86,0.62,2.73
2022-05-12,69,20.85,0.54,0.0
2022-05-13,63,21.99,0.53,0.0
